name,left,right,alpha,method,ndcg,num_queries,num_judgements
sbert_text_clip_image_score_a0.25,sbert_text,clip_image,0.25,score,0.8402217950896093,8956,181701
sbert_text_clip_image_score_a0.50,sbert_text,clip_image,0.5,score,0.8378535908120074,8956,181701
sbert_text_clip_image_rank_a0.50,sbert_text,clip_image,0.5,rank,0.8352517626880672,8956,181701
sbert_text_clip_image_score_a0.10,sbert_text,clip_image,0.1,score,0.8349859144851014,8956,181701
sbert_text_clip_image_rank_a0.75,sbert_text,clip_image,0.75,rank,0.8349246891372718,8956,181701
sbert_text_clip_image_score_a0.75,sbert_text,clip_image,0.75,score,0.8338361050501588,8956,181701
sbert_text_clip_image_rank_a0.90,sbert_text,clip_image,0.9,rank,0.8314366043125168,8956,181701
sbert_text_clip_image_score_a0.90,sbert_text,clip_image,0.9,score,0.8311031052407057,8956,181701
sbert_text_clip_image_rank_a0.25,sbert_text,clip_image,0.25,rank,0.8300306015566983,8956,181701
clip_text_clip_image_score_a0.10,clip_text,clip_image,0.1,score,0.8295842490888126,8956,181701
clip_text_clip_image_score_a0.25,clip_text,clip_image,0.25,score,0.8289179599178963,8956,181701
clip_text_clip_image_rank_a0.25,clip_text,clip_image,0.25,rank,0.8270344723011605,8956,181701
clip_text_clip_image_rank_a0.50,clip_text,clip_image,0.5,rank,0.8268462191272868,8956,181701
sbert_text_clip_image_rank_a0.10,sbert_text,clip_image,0.1,rank,0.8250040061879798,8956,181701
clip_text_clip_image_rank_a0.10,clip_text,clip_image,0.1,rank,0.8242121823133559,8956,181701
clip_text_clip_image_score_a0.50,clip_text,clip_image,0.5,score,0.8212077497526151,8956,181701
clip_text_clip_image_rank_a0.75,clip_text,clip_image,0.75,rank,0.8194593002150088,8956,181701
clip_text_clip_image_score_a0.75,clip_text,clip_image,0.75,score,0.8152910464423468,8956,181701
clip_text_clip_image_rank_a0.90,clip_text,clip_image,0.9,rank,0.8129434086091611,8956,181701
clip_text_clip_image_score_a0.90,clip_text,clip_image,0.9,score,0.8124032922701623,8956,181701
